,0,task
476,I use them everyday in the gym.,179
477,"I do clean them every so often, so I don't know if it's just that they are dirty and making my skin itch, or if I am having an allergic reaction to the material.",179
478,I have worn these on an airplane and could hardly hear the jets.,179
479,These are just the ticket.,179
480,I highly recommend it.,179
481,"Amazing product regardless, though!",179
482,I was surprised how easy it was to set up.,179
483,I love that they fold and come with a storage bag which means it can be stored easily in my gym bag.,179
484,"They do get a little uncomfortable after extended wearing, but it's not a deal breaker.",179
485,"But i wish they weren't white, because it got dirty on the inside VERY quick.. Other than that, they were absolutley WONDERFUL",179
486,"I owned a similar pair of Sony headphones about ten years ago, and for the price there is no better pair that you can get.",179
487,The sounds is ok but not good/very good or excellent.,179
488,The packaging was opened when I received these headphones.,179
489,"Any movement of my head, and the phones slip off and become annoyingly uncomfortable in a hurry.",179
490,One hand operation.,179
491,WIll deal with again,179
492,I did have some concerns about the comfort of the back neck piece however I do not even feel it most of the time.,179
493,The sound is good and acceptable.,179
494,Best blutooth headphones I've purchased.,179
495,"If your going to buy these take care of them, if you don't then it will definitely break.",179
496,They could even add $2 to the price without ruining the great value of them.,179
497,People mistake it from dre.,179
498,"Three qualities are most important to me in any set of headphones: Durability, Sound Quality, and Comfort.",179
499,I think they're pretty good considering I only paid about $30 for them.,179
500,"If star ratings were correlated with price, this would be 5 stars.",180
501,These are also very nice looking & look more expensive than they are.,180
502,All in all I couldn't be happier and for the price it's a no brainer.,180
503,"If you're looking for a affordable and good quality headphone, I will recommend these headphones.",180
504,Wish these were water resistant like the ones Kinivo recently pulled from the market (don't know why) but all in all these are a very good choice for this kind of head phone.,180
505,"I have reviewed your order and am prepared to assist further.""",180
506,My reference system comprises Beyer Dynamic DT 990 Premium 600 OHM Headphones using Benchmark DAC1 to drive the Beyers.,180
507,"i was discussed with the sound quality of these headphones, Sony dropped the ball on these.",180
508,So I am a regular gym goer and I use my headphone while working out.,180
509,I will keep an eye but so far so good!,180
510,They fit comfortably and I use them at work in the office.,180
511,"I bought these for somebody else and they didn't like them, but I started using them and I use them all of the time now.",180
512,When i would out on my Treadclimber the sound is great and really gets me going.,180
513,No problems at all.,180
514,You won't find this quality for that cheap at your local Wal-Mart.,180
515,"For the price, the headphones are awesome!",180
516,got these headphones in like february.,180
517,The pink color is a little flatter and not as bright as you would think.,180
518,The spring pressure is all right and does not become annoying after an hour of use.,180
519,It also costed like 26 bucks.,180
520,Love this headphone that I bought 2 of them.,180
521,"I wish they were smaller, and I'd like a version that goes over the top of the head (instead of over the back).",180
522,"I gave them 5 stars because at this price, you WILL NOT find headphones that sound better.",180
523,I've bought Sony earbuds for about $10 that sound alot better and dynamic than these headphones.,180
524,"Out of the box, quick connection to the phone and up for HOURS of great music.",180
525,"The only thing i didn't like , is how it was packaged.",181
526,"Thank God he doesn't know what ""Dre Beats"" are.",181
527,Highly recommend to those who have budget around 15-20 bucks.,181
528,This is my recommendation.,181
529,These are the best On-Ear headphones that I have ever used.,181
530,Inexpensive and works fine.,181
531,I fully recommend.,181
532,Will be picking up a second set for myself so I can listen to some tunes at the office.,181
533,I did sink it to my phone and it was great.,181
534,For $12 they are about all one could expect.,181
535,Love the color and the sound is great!!!!,181
536,Amazing Headphone.,181
537,"Don't drink and Drive unless your good at it, I used to be.",181
538,Great distance and battery life.,181
539,"If you want cheap headphones to just throw on, go for it.",181
540,Connection to my laptop was seamless.,181
541,Only done side a little more bass would have been nice.,181
542,"If you plan on wearing these for extended periods of time, you'll have to take a break every once and a while with them off, the pressure on your head can be too much.",181
543,"Thought about giving this 3 stars but for the money, I just can't complain that much.",181
544,Sony has had a great reputation for years but it is in decline.,181
545,Both headphones are about the same sound wise.,181
546,"And for $20, you can't go wrong.",181
547,Very good volume.,181
548,"But, as the title of my review stated, for a set of headphones under 20 bucks I did not expect them to be equivocal to 150 dollar headphones.",181
549,Music quality is good.,181
550,Well the headphones weren't picking up on the sound when I was using it with any program on the PC.,182
551,"They sent out a replacement BTH240 immediately, but I had the same problem with it.",182
552,But maybe I am used to earbuds.,182
553,Great headphones for $15.,182
554,"The sound quality is not breathtaking my any means, but I believe a very good value for the price.",182
555,"If it does, nothing tape can't fix.",182
556,I purchased several different brands of headphones for my 5 year old to use at computer class at school but they kept breaking.,182
557,other than that they hold a long charge.,182
558,My only complaint is with the fit.,182
559,The control buttons work smoothly and my iPhone 6 connected immediately and the calls are easy to answer and crystal clear.,182
560,I did not get comfort.,182
561,If you get these paired with your computer or phone you will enjoy these and LOVE the price.,182
562,Don't buy these.,182
563,"The rigid behind the head bar is just a skotch too small, the phones might fall off if I move carelessly.",182
564,I didn't think the fit was right for me.,182
565,The are good for what I need them to do,182
566,I use these as work headphones along with a mp3 player.,182
567,I got a pair of MDR-NC7 for about what I paid for the MDR-ZX100s I'm reviewing here.,182
568,"So they are wireless and you can answer phone calls with them, what's better than that.",182
569,"However both clips have broken and I've had to duct-tape them back into place -- next stop, Krazy Glue.",182
570,I'm the type who I crank up my music and just dive into what I'm doing.,182
571,They are perfect for the gym.,182
572,I do not think that I will be buying another pair when (more like if) these die on me.,182
573,Before buying them I was a little hesitant based on reviews from other users on amazon.,182
574,"Regardless, they have been the longest lasting headphones I've ever owned.",182
575,Only and minor complaint is that the plastic band stretches .,183
576,It's neither good or bad.,183
577,They are very nice.,183
578,"Not too bad for $15-20 and of course not $200 Beats or Bose sounding, but At $20 I also have a pair of Sennheiser HD202s that blow these Sonys out of the water.",183
579,"They are small, really small.",183
580,"Chord is long too, and really good to use this on the treadmill.",183
581,Comfortable and they stay on my head very well.,183
582,"The sound is just okay, and I often have problems connecting this to my devices when I have to switch from my desktop to my phone.",183
583,"For around $20, the sound quality is excellent, and would certainly recommend these to anyone looking for a VERY GOOD set of headphones, that just happen to be inexpensive.",183
584,"I find these comfortable, contrary to some reviewers, I wear a 7 1/2 baseball type cap.",183
585,"If you want good headphones for a good price,You can't go wrong with these stylish headphones from Sony.",183
586,"First of all, the way these fold up makes them relatively easy to carry around, but they are still bulky, and prone to folding out again accidentally.",183
587,This is my second Kinivo and I absolutely enjoy it.,183
588,I have no idea how but there is really no way to untwist it.,183
589,"The sound is surprisingly good, the padding is comfortable, and they don't cost much.",183
590,"Build quality is great cord length is actually perfect comfort is excellent, but the sound quality is most important.",183
591,"But overall, it isn't too bad for the price.",183
592,"They are comfortable, block out outside noise, and have good audio quality.",183
593,SONY did a good job as a big brand should,183
594,I finally decided to look on Amazon and these looked highly recommended and for $25 I didn't think I was taking much of a risk.,183
595,"Also, the sound was really poor.",183
596,Lost them and re-ordered another.,183
597,I do occasionally get static when I'm downtown as if a stronger signal just temporarily overwhelmed my bluetooth connection and I have to back up 30 seconds on my audiobook to hear what I missed.,183
598,"I am writing this after a couple of years of ownership, and I haven't used them for a long time, but I dug them out and tried them again.",183
599,Just want I needed.,183
600,I now feel like I have either an oversized head or ears.,184
601,"Used them on my droid but can play them very lound for some reason, i believe it is my phone though.",184
602,Can't wait to go full force in the gym with these.,184
603,That may be the headphones or it may be the cellular signal where I'm at or where the listener is at.,184
604,I bought for my son to use during the time he watches the IPAD but it didn't last long enough.,184
605,"FINALLY, we have it!",184
606,"I use it when I'm gaming, doing homework, watching a movie in the Library, basically all the time.",184
607,"Love the no cord aspect, fits great has wonderful sound quality.",184
608,"The ear padding is very soft, and the headphones stay secure to your head without pressing in on your ears (which I find uncomfortable over long periods).",184
609,"The sound quality and the bass is very impressive, I might even purchase another one for a family member.",184
610,"Listen to the reviews and you'll know that this is not for someone who wants ""top of the line"" quality and base pounding headphones.",184
611,If I wanted something high end I would of paid high end money.,184
612,Not clear if you can use a cigarette lighter USB charger in car or truck to supply charging power to the headphone when out and about.,184
613,It seems to me that they last wayyyy longer than 10 hours.,184
614,Nothing sounds distorted or shrill.,184
615,(maybe I'm not  pretentious enough or my hearing isn't as quality?,184
616,Both product's signal range and charge times are similar.,184
617,I should have bought two of these.,184
618,"The first few weeks, after about 45 minutes, I felt some mild ear soreness.",184
619,"Looks great, sound quality is good, somewhat above average, but ear coverage is minimal, could easily (inexpensively) be and so should be larger, and I found the cord to be too short.",184
620,It's OK if you're not very picky about the sound of your music.,184
621,Like I don't even need to know that dude.,184
622,I was skeptical when I purchased these headphones because of the low price.,184
623,I prefer my in-ear jawbones for outside of gym.,184
624,"Fit, in terms of tightness on the head ( my hat size is 7 1/4 ) is a 6 on a 1 to ten scale.",184
625,I mention them only because they are on my wishlist.,185
626,I'll definitely be buying these again!!,185
627,My head is not particular bigger the other people.,185
628,this does not have that problem.,185
629,I usually only do it after shirts vs skins basketball games when I do an impromptu press conference or I Kanye Weat my pastor of the church to talk about Beyonce's gospel album.,185
630,That alone is worth 5-stars.,185
631,I purchased a headset before these for 11 dollars and the connection on those were beyond better than the kinivo set.,185
632,I would buy these again.,185
633,The headset works as I expected.,185
634,This is still applicable even during calls.,185
635,I'm just reviewing so the average Joe can know that these headphones are worth the $15 and that it is a great purchace.,185
636,I tried running with it but it just didn't work out for me since it wasn't as snug as a fit as I had wanted.,185
637,Works fine with the phone function and with Siri.,185
638,Great value and performance.,185
639,:)  These push against my cartilage after a while.,185
640,"I love, love, LOVE these headphones!",185
641,"Additionally, there appears to be a type of AVL (volume limiter) built into this product.",185
642,Once again Sony has proven to provide a good quality product for a very reasonable price.,185
643,Probably not ideal for kids but it still works.,185
644,There is about a half inch of space between the back portion of the headphones that are suppose to rest on the back of your head.,185
645,"Overall, I'm satisfied with them for the price they were.",185
646,"Things with lots of bass (movies, dance music) have good punch.",185
647,They sound great and have a nice base.,185
648,Perhaps someone reading this review will have an idea.,185
649,"they do hurt my ears if i wear them for too long, but they are my first pair of over ear headphones, so i could be wearing them weirdly, idk lol",185
650,The white makes them fun too.,186
651,Honestly should have just bought another pair of 220's.,186
652,Feels comfortable as well sometimes i forget they are on.,186
653,They are very nice.,186
654,Headphones arrived after long shipping timw with faulty wire.,186
655,"In terms of sound, I'd say that they are about the same quality.",186
656,"While I haven't used a measuring tape, I can easily walk around my entire fitness facility and never lose connection.",186
657,"Out of the box, quick connection to the phone and up for HOURS of great music.",186
658,"Not bad, was a little leary of buying them since they were so cheap but thought I'd try the out since they are Sony brand.",186
659,Also volume is good.,186
660,"These are very good headphones, overall.",186
661,I would recommend them to anyone looking for a pair of headphones for a good price even if he/she is not using them for running or other activities.,186
662,There is no clarity.,186
663,Went upstairs and into bedrooms and it worked clearly as it did standing next to it.,186
664,I've only given them a 4 star because I've only had them for 2 weeks :) we'll see how things go in the months to come :),186
665,"Love the headphones, works well.",186
666,"To me, the bass on these is perfect.",186
667,I got this in white for my girlfriend and she really loves them.,186
668,I don't think they are made to be waterproof.,186
669,I am so glad I made this purchase!,186
670,As far as the Phone quality.,186
671,The headphones themselves are very light and very comfortable on my head but the bad noise coming from the left speaker is always there.,186
672,I needed new headphones because my last pair (a different brand) started only to play in one ear which many headphones do to me since they take a lot of abuse from me.,186
673,The headphone's sound is clear and flat in the mid range and part of the high frequency range.,186
674,"Overall, I can't complain whatsoever about the sound quality.",186
675,Would definitely buy again.,187
676,The only feature they have is earpieces that cover the full ear canal opening to muffle external sound waves.,187
677,"i don't like it , because the cable is short , and it's not comfortable :( , a like the sound quality and weight , i shouldn't forget the price , for the price i think it's a nice choice .",187
678,I've bought some headphones that pressed against my ears too much and made me uncomfortable and some other headphones that couldn't take a beating and broke down too fast.,187
679,"I revised my review to 4 stars, would be 5 if the microphone worked better.",187
680,Much better than the Photive and low end Sony phones in my house.,187
681,I run treadmills and rid trains with this and can't care about anyone else's opinion about the brand because they don't know what perfection I'm listening to.,187
682,"Purchased in late May 2015 and just discovered it died, will not charge - I got about 18 months of use out of it, but really expected more for the price (around $25 at time of purchase).",187
683,I would definitely recommend them!,187
684,Cheap and effective.,187
685,You won't regret it!,187
686,It has very good bluetooth connectivity.,187
687,The sound quality is good.,187
688,I am returning this and will look for something better.,187
689,Not too shabby for the price dynamic range 8 out of 10 depends on the output of you're system at my age 40+ hendrix and clapton always sound like gods.,187
690,Received these for my 5 year old son.,187
691,Poor quality manufacturing all around.,187
692,"However they are definitely the best cheapest headphones I have ever used, and I will be buying the updated model from Sony.",187
693,They have a soft rubber cover over where the wire meets the male connector (i.e.,187
694,Though not flush it fits your ear well and is not loose.,187
695,"Over a year and still work, purchased Dec 2015 and still sound great.",187
696,Loud enough to hear over the mower and long enough to last a work day.,187
697,i say get them in black because they can get dirty but easy to clean.,187
698,"Also, the sound was fine, but wasn't near the quality of my $30 Sony headphones that were wired.",187
699,"I guess they are worth the 18 bucks, but not much more.",187
700,For a low end headphone the plastic is very sturdy and solid.,188
701,I love listening to music and these headphones are comfortable...The sound quality is very good.,188
702,"i been through some good times with these headphones, Thank God for putting these headphones in my life.",188
703,Which is why the 4  stars instead of 5.,188
704,"I'm pleased with the battery life, and charging them up is simple with any standard micro-USB charger.",188
705,You can turn up the sound pretty loud and it sounds amazing.,188
706,I bought these after years of wanting a pair of Bluetooth headphones and I am glad I did.,188
707,These are Sony and at about $15 it's a steal so I went a head and got them.,188
708,It is does not have noise reduction but since it is cheap it is worth it.,188
709,"For less than 20 dollars, SONY is SONY.",188
710,The battery lasts with average usage 10 or so hours.,188
711,Best headphones I've ever had and so inexpensive.,188
712,2) The headphones don't fit very snug.,188
713,On my PC when I want to use the headphones I just power them up and wait about 10 seconds or so.,188
714,I bought this headset to use with my Samsung Tablet.,188
715,The Artic seems better on the bass range.,188
716,"They sound great, and function intuitively.",188
717,"They worked well for his program, and they work well when listening to music as well.",188
718,Love this headphone that I bought 2 of them.,188
719,I bought these to replace a pair of soundbot bluetooth headphones I purchased about 10 months previously.,188
720,These are some of the sturdiest headphones I've owned.,188
721,"My first set was the BTH220, and I loved them so much I bought the 240.",188
722,I quickly discovered the wire was loose at the end connecting to plug.,188
723,The two sound differences these headphones have from the 150s are a) a slightly lower output and b) a slightly lighter bass.,188
724,"They were easy to connect to my iPad, and sound good and have pretty good range.",188
725,I have a feeling I could slice open the cable and find a loose connection somewhere.,189
726,"Also the band sticks out from the back of my neck by about 1/2 "" so i can sit on a chair without the headphones getting pushed off my head.",189
727,I had already purchased the Kinivo BTH3 headphones for at work and wanted an economical solution for those random times when I just want to get away from all the other noises at home and focus on my computer.,189
728,"For anyone that complains about the sound quality, THEY ARE $15.00.",189
729,"This worked fine, but I did replace it with an $80 Logitech.",189
730,A little staticky when touched by where you plug the cord in to your device.,189
731,The sound is really not to be beat for this price.,189
732,"My feedback isn't on the sound quality, just that the ears pieces are an awkward size and really uncomfortable for me.",189
733,All ambient noise will leak in and all noises created by the headphones will leak out.,189
734,The padding on them makes them very comfortable.,189
735,I got one for my self then got two more for family.,189
736,contacted kinivo's customer service and the rep emailed me a return label.,189
737,"Sound:
  Just bought a pair because I left my Alessandro MS-1s at home and am listenning now.",189
738,the sound quality seems good and the headphones have held up well to use.,189
739,"Couple of other folks have them, and they all gave me positive reviews which influenced my purchase even more.",189
740,COULD HAVE BEEN BETTER DESIGNED .,189
741,She would bang them on everything and drag them hanging from her tablet up the wood stairs everyday.,189
742,I love having buttons on the side so I don't need to be next to my phone.,189
743,"It might just be the pair I received, but the range on these are awful when in an open environment (i.e.",189
744,When they did work they did a decent job for the price but always had a rattling in the right ear and didn't block out much noise.,189
745,Update: The company contacted me.,189
746,It's a lifesaver!,189
747,"These headphones are built by amazingly, talented, under-aged Chinese slave children.",189
748,"Although the cord is a little shorter than I would like, it's still slightly longer than the cord on my Apple earbuds they replaced.",189
749,"So far, I don't have any complaints.",189
750,The sound is good as well.,190
751,It gets the job done for the price one thing that is annoying is that you have to pair it every time you use it you can't just turn on your bluetooth and go like others after pairing it the first time,190
752,But I knew this had to be just a bad unit.,190
753,I charge them about once a week if not less.,190
754,"It is not super quality, but for the price it is OK.",190
755,Arrived very quickly.,190
756,I've bought these headphones like 4 times in a row now.,190
757,Arrived earlier than expected.,190
758,"They aren't audiophile headphones, but they are more than adequate; moreover, I don't have to switch headsets if I'm in a meeting and then want to drown out the office noise with music after the meeting is over.",190
759,Fit well on my head.,190
760,5) No clicking sound from the buttons as reported by other users.,190
761,For $30 you cannot complain though.,190
762,"This have good sound and okay bass,  they do need more treble but overall good product for the price.",190
763,"Sound is balanced, not too much of anything (so the bass wasn't that good for electronic music and such, but it was there)but a little muffled.",190
764,"2014 CHristo as my Grandma purchased these head phones for me, they were great till late November of this year.",190
765,I was a bit apprehensive before because I had never heard of the brand Kinivo.,190
766,These are great headphones.,190
767,I have been constantly using it for over 10 months now and it still charges as new and has the same sound quality ... !,190
768,they make my head look rounder because they are a bit wide but the sound quality is great!,190
769,"Even without moving them a little bit, they are not like similar styles of headphones, that hurt my ears or pinched my head ..",190
770,Couldn't ask for anything better!,190
771,"When I told him what I paid, and what these normally cost on the electronics aisle at Walgreens (maybe $20), he asked for a pair of his own.",190
772,I have been having multiple issues with the microphone input of the NEXUS 4 phone.,190
773,The quality when using it for phone calls is very poor.,190
774,"For the price, the sounds is awesome and really makes you feel you are right in either the concert or movie theater!",190
775,I saved a ton of money and the headphones audio is superb!,191
776,They feel as equally comfortable around your neck as in your head.,191
777,"These are good, inexpensive general purpose headphones.",191
778,"These work really well (not perfect) with my iPhone 5, MapMyFitness, and my Fitletic Race Belt.",191
779,The flap is useless and always sticking out making the BTH240 unappealing.,191
780,I really like these!,191
781,"They're great for that, and so much more.",191
782,This headset was exactly what I needed!,191
783,Sent them back thinking that they were a dud and ordered a replacement.,191
784,Only and minor complaint is that the plastic band stretches .,191
785,Niceb Bluetooth headphones.,191
786,"Arrived in good time, tried it with iPhone voice calls and with my music playlist.",191
787,"I can actually hear the bass of my music thrumming now and have found myself getting startled occasionally, even, as they pick up softer sounds in the background of my music that I had not previously heard.",191
788,I have been using these headphones for months and they are still in good working order.,191
789,It is very nice to be able to move around my work space without a cord tethering me to the computer.,191
790,In case your wondering in those three years the sound is the same (This time I bough the Black Colored Version) so there is no downgrade in the quality that at times happens.,191
791,These are just the ticket.,191
792,So if it has perfect sound...I can't judge.,191
793,I have tried them out and can't find a thing wrong with them.,191
794,Bought this a month and it was working well until today .,191
795,These Sony MDR-ZX100 headphones are good.,191
796,"I made sure they were well taken care of, but maybe I used them too much.",191
797,Happy with the price point and glad I purchased them.,191
798,"I love that it adjusts, and it's easy to figure out which side is right vs. left (the red color goes on the right, by the way).",191
799,"They work fine, but the sound quality is typical of $20 headphones.",191
800,What you get are well constructed headphones with solid performance and very good Sony quality.,192
801,"But for the price, I think that these are way more than worth it if you need a cheap pair of headphones that will last you longer than twinkies in the post nuclear world.",192
802,The only gripe would be the band is stiff and really really wide.,192
803,"they are good, minimize external sound, very comfortable and easy on the ears.",192
804,"I've been using it for a good 4 month to this date by now, and so far I had absolutely no trouble nor any malfunctions.",192
805,I will keep an eye but so far so good!,192
806,"Fit well on any audio jack ipod, tablet, desktop, ds, psp, etc.!",192
807,They are not noise canceling and they are bulky.,192
808,I purchased these a year ago along with a portable DVD player for our car.,192
809,"AFTER MY FIRST TRY I FELL IN LOVE WITH THEM, THE SOUND IS LOUD AND DETAILED, THE BASS IS JUST RIGHT, NOT TOO MUCH TO THE POINT IT DISTORTS THE QUALITY OF SONGS.",192
810,The distance for these is good as well - I have yet to go past their reach.,192
811,I have been having multiple issues with the microphone input of the NEXUS 4 phone.,192
812,Not distracting - cannot be heard by others nearby while I am wearing these.,192
813,"Like I said, I've only used it once, but the one time it was awesome.",192
814,I bought one of these 2 years ago.,192
815,But there are other affordable options out there that perform a little better.,192
816,Those could break easily.,192
817,I would NOT recommend these for purchase from anywhere.,192
818,I received the item within two days of placing the order so I was extremely happy about that.,192
819,My daughter uses these with her studio equipment.,192
820,There's now a rubber cover on the micro USB jack; added protection from the elements and looks better.,192
821,"On the other hand, they sound great and are at a fantastic price point.",192
822,And plenty of reviewers here swear by their comfort and ability to stay on while exercising.,192
823,The previous set I owned (different brand) lasted for 5 months before they crapped out.,192
824,Price: Amazing price!,192
825,"They feel light weight and easily breakable so we've been treating these delicately, but they work great and totally tune out background noise.",193
826,These are terribly uncomfortable.,193
827,They also lay flay which is nice for travel.,193
828,These are also pretty uncomfortable on your ears and becomes painful when worn for a long period of time.,193
829,Even though I dropped it more times than I can count.,193
830,"Nope, they're pretty comfortable, and I've rarely found headphone I didn't hate, I have a rather large head and imagine they'd be super comfortable on most people.",193
831,"This is an un-necessary glitch for  what I previously considered the best portable blue-tooth headphones, including the unilateral  in-ear-piece models, I have ever owned.",193
832,"Secondly, the ear cups don't swivel nearly as much as the older ones did, which makes it difficult to place them on your head.",193
833,Can't believe they were as inexpensive as they were.,193
834,"But overall, it isn't too bad for the price.",193
835,I ended up immediately purchasing Bose AE2i's and am extremely happy with them.,193
836,Lastly I just want to say that these come with a nice sturdy cord.,193
837,"This set can be stored away flattened, you simply turn the phones in sideways.",193
838,I wish that the fit was adjustable.,193
839,The reason for 4 stars and not 5 is that I was hoping it would fit over my ears and not sit on them.,193
840,They come with a long cord which is convenient for the purpose of their use.,193
841,"In sum, it's a great deal.",193
842,"Probably needless to say, the Bose OE2 lightweight headphones, also top rated by Consumer Reports, sound the best.",193
843,They just last song long.,193
844,Will update this review to let you know what I think.,193
845,Don't get me wrong I love this product and I went safe and purchased the product from amazon not a seller.,193
846,"They came in the mail within two days of my order, which made me very pleased.",193
847,UPATE: Their customer service notified me after reading this review and sent me a new paid to replace the pair with the power issue.,193
848,I'm REALLY suprised by all the 1 and 2 star reviews.,193
849,"It should be noted that they can be had from Best Buy for $20 with free shipping, rather than the $40 amazon is at right now.",193
850,"I was able to put it back in and use it still, but it pops out still every now and again.",194
851,I honestly would have returned it but was too lazy.,194
852,I bought two for my kids.,194
853,But then again what can you expect for $30 bucks.,194
854,I'm still contemplating reordering because I do like them.,194
855,Very good volume.,194
856,"Also, they look really bad haha.",194
857,"Long range, good sound, decent battery.",194
858,I now feel like I have either an oversized head or ears.,194
859,Just don;t expect too much for $15.,194
860,"A great value, too.",194
861,"So far, so good.",194
862,Just got back from a 2100 mile road trip and these held up to abuses of 3 young boys tossing them around the car for 2 weeks!,194
863,"Every time I turned on these headphones, it typically would take a couple seconds longer to sync up with my phone than other Bluetooth headphones I've used in the past.",194
864,Sony has had a great reputation for years but it is in decline.,194
865,The only reason I gave it 4 instead of 5 stars is that the band is a little wide and I have a hard time to fit them well to my head.,194
866,Love these Bluetooth Stereo Headphones.,194
867,"Before I even downloaded all my songs to the new MP3 I purchased from Amazon at the same time as these groovy headphones, one of the earpieces fell into a vodker and soda...soaked to schmitt.",194
868,$15 for over the ear headphones is a good price.,194
869,"On the other hand, they sound great and are at a fantastic price point.",194
870,"Having said all that, I blame myself, not the headphones.",194
871,This headset sits slightly awkward during running but stays on for a while.,194
872,Only item I didn't like was that the headstrap is not adjustable.,194
873,I would characterize my head size as average for an adult male.,194
874,"I figured that if they were no good, I would lose only $15.",194
875,Everything in electronics is black it seems.,195
876,I can't use earbuds and corded phones are such a nuisance.,195
877,"Don't expect to get the best pair of headphones ever, but I've found that they're probably worth at least 30 or 35 dollars.",195
878,Overall solid headphones nd great value for the price.,195
879,"When my daughter saw it the first time, she wants it because it matches with her Sony Laptop and now I had to order another one because I need one.",195
880,Best headphone I've ever used.,195
881,"Appear a bit cheaply made, I think the all-black selection may look better than this red/black color, but it isn't horrible - not garish.",195
882,The bad: Maybe I have bigger ears but sometimes they take some fiddling to get comfortable on my head.,195
883,It is very annoying to get rapped in the cord when you are trying to run so I bought these.,195
884,"And thats not even the loudest the headphones can go, I have not tried these at full volume, and I don't plan on it, I'd rather not blow the speakers.",195
885,Sound is okay/cool and I love that the right side has a read mark so u can easily know what side to put where.,195
886,"Overall, I still liked this on-ear product if you're quite tired of using in-ear.",195
887,Well made and very very durable so far after about 2 months of daily use by a 3 and 8 year old.,195
888,Great value and performance.,195
889,I've also put it in many bags when traveling where I'm sure the cords were angled in a way that should have caused fraying but the cords are fine.,195
890,These things have fabulous sound and range.,195
891,It has very good bluetooth connectivity.,195
892,Great distance and battery life.,195
893,I am a male with a neck size greater than 18 inches.,195
894,Received product within 5 days and was well packaged for delivery.,195
895,Bought this product after seeing high reviews !!,195
896,They work great and are durable (my son uses them for the computer lab at school).,195
897,Highly recommend.,195
898,He is also picky.,195
899,The build is also excellent as it has structurally held up nicely.,195
900,Be mindful of this if you have a bigger head.,196
901,"The sound cuts a bit if you're moving around a lot, I wore then as I mowed my lawn, but for the most part, 'they're okay.",196
902,I have has the for 5 whole days now.,196
903,Very comfortable to wear even with long hear flowing over.,196
904,If you read these reviews you would think otherwise.,196
905,"As I was saying, these headphones are fantastic because they are very light weight and good quality.",196
906,Even the 'leather' ear padding (didn't know it came like that.,196
907,These headphones are very light and easy to transport.,196
908,I bought my daughter a pair for Christmas because I liked the color.,196
909,I've purchased three pairs of these for my kids (two pairs in white/pink and one in blue/black).,196
910,They squeeze one's head like a vice.,196
911,The play time has been good and about 8 hours on one charge.,196
912,"I'd rather pay more for better quality, but even the more expensive ones from Sony that are similar to this, have the same problems.",196
913,These work great.,196
914,You just can't complain at this price.,196
915,"Other than that, regardless of how I have it on, it fits well enough that I can't complain.",196
916,"The portion that wraps around your ear can get a little sore and annoying after a while, but just a little adjusting and it will go away.",196
917,They continue to look nice after months of use and are easy to clean.,196
918,There are no better headphones on Earth for this price.,196
919,I work in a lab and have to move around a lot while working so getting rid of cables was my highest priority followed closely by battery life.,196
920,I've had other headphones like these in the past but I didn't expect anything more for cheap headphones.,196
921,Just like other people saying the cord should be at least 6 inch longer.,196
922,I feel like a little more width around back might help give a better angle that wouldn't pinch my ears.,196
923,I bought this color and the white one for my kids that last longer than other brands.,196
924,I am sure this is a good headset but not for what I needed it for.,196
925,"But, they just mean you can hear the cord moving when the headphones are on, and it's not even a problem.",197
926,"They are small, really small.",197
927,The frequency response was terrible.,197
928,Received product within 5 days and was well packaged for delivery.,197
929,"Overall, I highly recommend them for the average listener, but not for the audiophile snob types.",197
930,"From day 1 they were uncomfortable, but manageable and with decent sound.",197
931,These are some kind of thin synthetic leather-like material with foam inside.,197
932,"These are really affordable headphones, nice and loud with decent bass.",197
933,The control buttons work smoothly and my iPhone 6 connected immediately and the calls are easy to answer and crystal clear.,197
934,I sleep with them and they don't get all tangled or bent.,197
935,I was very impressed.,197
936,I like this much better.,197
937,I would love to give these 5 stars.....but these have their issues.,197
938,I like the fact that I can lay the ear muff flat so I can just slip it my computer case.,197
939,Outstanding sound quality for the price and very comfortable to wear.,197
940,"Very satisfied with this product and performance - Light weight, comfortable padding for long use, long lasting battery and relatively inexpensive compared to other similar products.",197
941,"Second, they were packaged well and arrived with no damage.",197
942,These were also a gift and my daughter loves them.,197
943,"These ones lasted through running in snow, rain, heat.",197
944,"My coworkers often make comments about my ""fancy headphones,"" but at this price I don't worry about leaving them at work overnight.",197
945,Maybe it's because I have a big head.,197
946,I can also attest that in the winter they actually keep your ears warm!,197
947,Guess I'll never know that though.,197
948,"I believe I got a knock off, it does not look like sony quality.",197
949,I purchased these about 4 years ago and they just died.,197
950,I bought the Jabra because they can support 2 devices at one time.,198
951,"The sound quality is decent, though not superb - I have Sony 7506 professionals to compare to for music, but they cost $100 so should be better.",198
952,"I purchased this Bluetooth headset to replace a Sound Bot headset that worked but always seemed clumsy, cheap and looked a bit dorky.",198
953,Headphones arrived after long shipping timw with faulty wire.,198
954,Arrived earlier than expected.,198
955,"However both clips have broken and I've had to duct-tape them back into place -- next stop, Krazy Glue.",198
956,"Once i put them on, the sound was vivid and very clear.",198
957,No bass and no highs at all - even I could immediately tell that!!!,198
958,"They've been great for making phone calls, I almost never make a call with just my phone anymore, the sound always come through clearer on the headphones.",198
959,I use my headphones for listening to class lectures and writing notes.,198
960,I love these headphones!,198
